label,text,text1,text2
37,brain fluid buildup delay giffords rehab,brain fluid buildup delay vascular rehab,iv fluid buildup delay giffords rehab
14,trailer talk week movie rite mechanic week opportunity,trailer talk week movie rite comedy week opportunity,trailer talk week movie rite mechanic teen opportunity
100,rnc appoints chairman tampa convention effort visit tampa republican nati tampa fl,rnc appoints chairman tampa convention effort visit tampa in nati tampa fl,"rnc appoints chairman tampa convention effort visit tampa republican, tampa fl"
110,gbagbo camp futile cut ivory coast economy,gbagbo camp futile cut ivory market economy,gbagbo camp price cut ivory coast economy
61,chinese president lost translation powerful leader meet expect tran,chinese president plans translation powerful leader meet expect tran,chinese president lost translation public leader meet expect tran
60,england fishing community current management system broken edf,england fishing community current management system status edf,england fishing control current management system broken edf
79,protest reform start yemen hundred anti government protester gathered sanaa,protest reform the yemen hundred anti government protester gathered sanaa,protest reform start yemen hundred fifth government protester gathered sanaa
83,stuxnet lead chernobyl russian,stuxnet lead chernobyl attack,stuxnet lead ) russian
81,iphone share smartphones phone,iphone share WiFi phone,iphone ten smartphones phone
67,uploaded youtube video nba final lakers celtic game memory highlig,uploaded youtube video nba final lakers celtic game since highlig,uploaded youtube video nba final lakers celtic game tony highlig
99,feed epic sci fi car ad kia optimum super bowl commercial video trendhunter supe,feed at sci fi car ad kia optimum super bowl commercial video trendhunter supe,digital epic sci fi car ad kia optimum super bowl commercial video trendhunter supe
95,naughty facebook started sharing personal detail site day turn fb,naughty facebook started sharing personal detail site next turn fb,twitter facebook started sharing personal detail site day turn fb
99,super bowl commercial,super bowl series,gas bowl commercial
72,bruce will fave kardashian lol,bruce will fave us lol,bruce edwards fave kardashian lol
66,attack journalist escalate egypt,attack terror escalate egypt,attack sets escalate egypt
30,keith olbermann join current tv report,keith olbermann join current special report,sean olbermann join current tv report
75,opinion christina sounded amazing super bowl america making big deal,opinion christina sounded amazing super bowl america making big promise,opinion debate sounded amazing super bowl america making big deal
96,sundance day strange celebrity encounter steve carell elijah wood full day sundanc,sundance day strange celebrity encounter steve carell elijah wood dance day sundanc,sundance day strange celebrity encounter steve carell elijah wood full day single
55,acai berry supplement weight loss associated content heard oprah win,acai berry supplement weight loss associated content heard oprah skin,acai berry supplement weight loss associated content heard on win
101,finished watching black swan twisted mental strain take embrace role natalie portman incredible,finished watching black swan twisted mental strain take embrace role post portman incredible,finished watching black swan twisted mental strain take embrace under natalie portman incredible
21,hot air breaking rahm ballot tcot lt state totally corrupt,hot air breaking rahm ballot tcot lt state of corrupt,hot air breaking rahm ballot tcot lt state totally right
68,charlie sheen abuse,charlie sheen :,charlie under abuse
99,music featured motorola xoom super bowl commercial,music featured giant xoom super bowl commercial,south featured motorola xoom super bowl commercial
14,rite movie review fan movie deal battle good evil,rite movie review fan movie fights battle good evil,rite off review fan movie deal battle good evil
106,potential replacement steve job,potential replacement steve system,potential host steve job
79,yemen president signal won stay freedomwar egypt jan syria feb,yemen president no won stay freedomwar egypt jan syria feb,yemen president signal won stay freedomwar from jan syria feb
74,debt settlement lawyer debt settlement easier lawyer day debt settlement beco,debt settlement lawyer debt settlement easier lawyer day debt default beco,debt settlement lawyer debt settlement easier lawyer day risk settlement beco
75,aguilera repeat national anthem ap ap christina aguilera flubbed belted,aguilera repeat national anthem tune ap christina aguilera flubbed belted,aguilera repeat national anthem ap ap christina aguilera flubbed from
66,skipped romanian crew journalist threatened attacked detained reporting egypt,skipped romanian crew journalist threatened of detained reporting egypt,skipped romanian crew journalist threatened attacked detained until egypt
55,loss weight acai berry capsule benefit,loss weight acai salt capsule benefit,loss weight height berry capsule benefit
45,pew internet online american social networking twitter politics campaign internet,pew internet Facebook american social networking twitter politics campaign internet,pew internet online american social networking twitter politics campaign debate
60,tbf flw outdooors introduce national high school fishing program national high school fishing program,tbf flw outdooors introduce national high speed fishing program national high school fishing program,tbf flw outdooors competition national high school fishing program national high school fishing program
25,fucking awesome jesse jesse ventura slam tsa lawsuit,fucking awesome jesse jesse ventura slam murder lawsuit,fucking red jesse jesse ventura slam tsa lawsuit
88,king speech awarded best ensemble cast screen actor guild award,king speech awarded best blue cast screen actor guild award,king speech 2015 best ensemble cast screen actor guild award
60,charge fee saltwater fishing license,charge fee saltwater fishing vessel,general fee saltwater fishing license
46,bottega veneta teal turquoise knot intrecciato snakeskin clutch,bottega veneta teal turquoise knot intrecciato snakeskin velvet,di veneta teal turquoise knot intrecciato snakeskin clutch
87,baked slow cooker chicken crockpotrecipes,baked double cooker chicken crockpotrecipes,russian slow cooker chicken crockpotrecipes
17,fake snow storm white stripe officially call quits,fake snow flakes white stripe officially call quits,fake lightning storm white stripe officially call quits
99,chrysler air super bowl commercial,chrysler baby super bowl commercial,hot air super bowl commercial
97,kid set college time fill fafsa,kid set college time fill schedule,kid summer college time fill fafsa
75,funny happened aguilera repeat national anthem yahoo news,funny happened aguilera repeat national anthem bad news,funny happened aguilera repeat national anthem yahoo on
88,hollywood director honor king speech reuters,hollywood may honor king speech reuters,sports director honor king speech reuters
87,kung pao chicken recipe,kung pao<unk> recipe,po pao chicken recipe
37,giffords rocky road recovery health news,giffords McCain road recovery health news,1993 rocky road recovery health news
99,complete list super bowl commercial advertiser youtube,complete list super PAC commercial advertiser youtube,complete list super nes commercial advertiser youtube
103,senator avoiding tea party caucus,senator states tea party caucus,senator avoiding tea general caucus
99,watch volkswagen superbowl commercial youtube ad blitz channel escarabaajoos,watch volkswagen naked commercial youtube ad blitz channel escarabaajoos,watch volkswagen superbowl commercial youtube ad video channel escarabaajoos
82,washington legislature wade immigration debate oregonlive summary requires employe verify,washington legislature wade immigration debate legislation summary requires employe verify,washington legislature wade immigration debate oregonlive summary information employe verify
62,te boozing news starbucks huge trenta cup hold entire bottle wine,te boozing news from huge trenta cup hold entire bottle wine,your boozing news starbucks huge trenta cup hold entire bottle wine
44,carney obama press secretary,carney brown press secretary,carney obama trade secretary
72,kardashians pier morgan stupid answer question perfect,kardashians pier morgan chicken answer question perfect,kardashians pier morgan stupid heart question perfect
56,chavez mark year office venezuelan president hugo chavez mark year power promising press,chavez mark year office venezuelan president hugo chavez mark year power as press,2001 mark year office venezuelan president hugo chavez mark year power promising press
14,rite safe horror film devil time plain dealer,rite safe horror film devil time cons dealer,rite safe horror film a time plain dealer
80,chipotle fire hundred immigration raid immigration probe forced mexican chain chipotle fire,chipotle fire hundred immigration raid immigration roundup forced mexican chain chipotle fire,chipotle fire hundred immigration raid immigration probe forced mexican chain guard fire
99,beetle commercial creative superbowl great teaser,beetle commercial killer superbowl great teaser,beetle commercial creative superbowl great!
79,yemen thousand protest government worldnomads travelsafety,yemen thousand protest government at travelsafety,yemen thousand villages government worldnomads travelsafety
22,going amazing constitutional showdown reach supreme court,going Texas constitutional showdown reach supreme court,going amazing legal showdown reach supreme court
60,aquarium fish aquarium success good common sense will fir,aquarium fish aquarium success has common sense will fir,aquarium fish aquarium success good mission sense will fir
89,justice extend protection workplace retaliation supreme court ruled employer sued,justice extend protection workplace retaliation grounds court ruled employer sued,justice extend protection workplace retaliation action court ruled employer sued
44,white house press secretary jay carney,white house press secretary jay source,white house press secretary jay hill
88,oscar reaction guess king speech,oscar reaction guess king predictions,first reaction guess king speech
95,cnn hack facebook unlocks security facebook adding security feature pa,cnn hack facebook unlocks devices facebook adding security feature pa,cnn hack facebook unlocks security as adding security feature pa
84,nfl concussion people survey wix jsquared concussion,nfl concussion violence survey wix jsquared concussion,nfl concussion people survey wix national concussion
57,national guard called chicago snow storm woow snow chill people,national guard called chicago snow storm woow out chill people,national guard called chicago snow storm woow snow chill north
77,loooooooooooove ncis,loooooooooooove em,loooooooooooove for
55,weight loss diet plan acai juice equal nutritional claim acai,weight restricted diet plan acai juice equal nutritional claim acai,weight loss diet plan acai juice equal value claim acai
64,traffic depot update oceanside green light red light camera ticket traffic,traffic depot update oceanside green side red light camera ticket traffic,traffic depot update oceanside green light red search camera ticket traffic
75,christina aguilera mess national anthem start super bowl xlv,christina aguilera mess national anthem start super bowl upset,adele aguilera mess national anthem start super bowl xlv
99,definitely forward superbowl commercial year esp steve martin cameo,definitely forward superbowl commercial year esp steve martin<unk>,definitely forward superbowl commercial without esp steve martin cameo
55,acai berry diet succeed hoodia gordonii site acai berry cultivated acai palm,acai cream diet succeed hoodia gordonii site local berry cultivated acai palm,acai berry diet succeed hoodia gordonii site acai berry cultivated tree palm
56,hugo chavez apologizes venezuelan people ahead election,hugo chavez apologizes venezuelan people ahead protest,he chavez apologizes venezuelan people ahead election
60,fishing news banner website,fishing news banner display,fishing news official website
30,keith olbermann join current tv report keith olbermann controversial liberal pundit ho,keith olbermann join current affairs report keith olbermann controversial liberal pundit ho,keith olbermann join current tv report keith olbermann controversial liberal pundit in
21,chicago rahm emanuel ballot,chicago for emanuel ballot,of rahm emanuel ballot
